Month,Year,County,Med_Sales,Rec_Sales,Med_Blank_Code,Rec_Blank_Code
1,2016,El Paso,7124874,,,NR
1,2016,Fremont,160049,,,NL
1,2016,Garfield,342951,821090,,
1,2016,Gilpin,,136475,NR,
1,2016,Grand,,287813,NR,
1,2016,Gunnison,,400086,NR,
1,2016,Hinsdale,,,NL,NL
1,2016,Huerfano,,,NL,NR
1,2016,Jackson,,,NL,NL
1,2016,Jefferson,1624527,3020022,,
1,2016,Kiowa,,,NL,NL
1,2016,Kit Carson,,,NL,NL
1,2016,Lake,,,NL,NR
1,2016,La Plata,364582,1396817,,
1,2016,Larimer,1310553,2708125,,
1,2016,Las Animas,,922872,NR,
1,2016,Lincoln,,,NL,NL
1,2016,Logan,,,NL,NL
1,2016,Mesa,,,NR,NR
1,2016,Mineral,,,NL,NL
1,2016,Moffat,,,NR,NL
1,2016,Montezuma,79330,532773,,
1,2016,Montrose,,,NR,NL
1,2016,Morgan,,,NR,NR
1,2016,Otero,,,NL,NL
1,2016,Ouray,,,NR,NR
1,2016,Park,,187006,NR,
1,2016,Phillips,,,NL,NL
1,2016,Pitkin,93239,1008558,,
1,2016,Prowers,,,NL,NL
1,2016,Pueblo,822153,1466234,,
1,2016,Rio Blanco,,,NL,NL
1,2016,Rio Grande,,,NL,NL
1,2016,Routt,203373,792416,,
1,2016,Saguache,,,NL,NR
1,2016,San Juan,,,NL,NR
1,2016,San Miguel,,385569,NR,
1,2016,Sedgwick,,,NR,NR
1,2016,Summit,228510,2338782,,
1,2016,Teller,,,NR,NL
1,2016,Washington,,,NL,NL
1,2016,Weld,356636,1793538,,
1,2016,Yuma,,,NL,NL
1,2017,Adams,520138,4192709,,
1,2017,Alamosa,,,NR,NL
1,2017,Arapahoe,1137598,8481055,,
1,2017,Archuleta,,,NR,NR
1,2017,Baca,,,NL,NL
1,2017,Bent,,,NL,NL
1,2017,Boulder,1943678,5351831,,
1,2017,Broomfield,,,NL,NL
1,2017,Chaffee,,316009,NR,
1,2017,Cheyenne,,,NL,NL
1,2017,Clear Creek,52434,584198,,
1,2017,Conejos,,294331,NL,
1,2017,Costilla,,214330,NR,
1,2017,Crowley,,,NL,NL
1,2017,Custer,,,NL,NL
1,2017,Delta,,,NL,NL
1,2017,Denver,15275938,25681498,,
1,2017,Dolores,,,NL,NL
1,2017,Douglas,,,NL,NL
1,2017,Eagle,135334,1297711,,
1,2017,Elbert,,,NL,NL
1,2017,El Paso,7656270,,,NR
1,2017,Fremont,,,NR,NL
1,2017,Garfield,308266,1373945,,
1,2017,Gilpin,,157003,NR,
1,2017,Grand,,378163,NR,
1,2017,Gunnison,,546542,NR,
1,2017,Hinsdale,,,NL,NL
1,2017,Huerfano,,,NL,NR
1,2017,Jackson,,,NL,NL
1,2017,Jefferson,1370186,4098431,,
1,2017,Kiowa,,,NL,NL
1,2017,Kit Carson,,,NL,NL
1,2017,Lake,,188571,NL,
1,2017,La Plata,301119,1655168,,
1,2017,Larimer,1099359,3695944,,
1,2017,Las Animas,,2162976,NR,
1,2017,Lincoln,,,NL,NL
1,2017,Logan,,,NL,NL
1,2017,Mesa,,,NR,NR
1,2017,Mineral,,,NL,NL
1,2017,Moffat,,,NR,NL
1,2017,Montezuma,55703,1146208,,
1,2017,Montrose,,,NR,NL
1,2017,Morgan,,,NR,NR
1,2017,Otero,,,NR,NL
1,2017,Ouray,,326182,NR,
1,2017,Park,,267804,NR,
1,2017,Phillips,,,NL,NL
1,2017,Pitkin,66911,1164037,,
1,2017,Prowers,,,NL,NL
1,2017,Pueblo,515017,2334107,,
1,2017,Rio Blanco,,,NL,NL
1,2017,Rio Grande,,,NL,NL
1,2017,Routt,186048,938153,,
1,2017,Saguache,,,NL,NR
1,2017,San Juan,,,NL,NR
1,2017,San Miguel,35319,426586,,
1,2017,Sedgwick,,,NR,NR
1,2017,Summit,,2678675,NR,
1,2017,Teller,,,NR,NL
1,2017,Washington,,,NL,NL
1,2017,Weld,267811,2382718,,
1,2017,Yuma,,,NL,NL
1,2018,Adams,803293,6081061,,
1,2018,Alamosa,,,NR,NL
1,2018,Arapahoe,844394,9032907,,
1,2018,Archuleta,,624455,NR,
1,2018,Baca,,,NL,NL
1,2018,Bent,,,NL,NL
1,2018,Boulder,1647031,6212027,,
1,2018,Broomfield,,,NL,NL
1,2018,Chaffee,,340366,NR,
1,2018,Cheyenne,,,NL,NL
1,2018,Clear Creek,29971,596376,,
1,2018,Conejos,,390971,NL,
1,2018,Costilla,,246490,NL,
1,2018,Crowley,,,NL,NL
1,2018,Custer,,,NL,NL
1,2018,Delta,,,NL,NL
1,2018,Denver,13211845,28855834,,
1,2018,Dolores,,,NL,NL
1,2018,Douglas,,,NL,NL
1,2018,Eagle,132762,1599616,,
1,2018,Elbert,,,NL,NL
1,2018,El Paso,7661315,,,NR
1,2018,Fremont,134858,,,NL
1,2018,Garfield,249651,1391402,,
1,2018,Gilpin,,167184,NR,
1,2018,Grand,,462433,NR,
1,2018,Gunnison,,600542,NR,
1,2018,Hinsdale,,,NL,NL
1,2018,Huerfano,,,NL,NR
1,2018,Jackson,,,NL,NL
1,2018,Jefferson,1278807,3912816,,
1,2018,Kiowa,,,NL,NL
1,2018,Kit Carson,,,NL,NL
1,2018,Lake,,223602,NL,
1,2018,La Plata,273077,1675203,,
1,2018,Larimer,1122353,4982764,,
1,2018,Las Animas,44461,3370017,,
1,2018,Lincoln,,,NL,NL
1,2018,Logan,,,NL,NL
1,2018,Mesa,,1069286,NR,
1,2018,Mineral,,,NL,NL
1,2018,Moffat,,,NR,NL
1,2018,Montezuma,54617,1514572,,
1,2018,Montrose,,,NR,NL
1,2018,Morgan,,748636,NR,
1,2018,Otero,,,NR,NL
1,2018,Ouray,,409591,NR,
1,2018,Park,,334849,NR,
1,2018,Phillips,,,NL,NL
1,2018,Pitkin,65391,1361900,,
1,2018,Prowers,,,NL,NL
