stateabbrv,statename,stfips,areatyname,areaname,areatype,area,periodyear,periodtype,pertypdesc,period,inctype,incdesc,incsource,incsrcdesc,income,incrank,population,releasedate
US,U.S.A.,0,United States,United States,0,0,1929,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),85126000000,0,121769000,20140612
US,U.S.A.,0,United States,United States,0,0,1929,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),699,0,121769000,20140612
US,U.S.A.,0,United States,United States,0,0,1930,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),76371000000,0,123075000,20140612
US,U.S.A.,0,United States,United States,0,0,1930,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),621,0,123075000,20140612
US,U.S.A.,0,United States,United States,0,0,1931,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),65507000000,0,124038000,20140612
US,U.S.A.,0,United States,United States,0,0,1931,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),528,0,124038000,20140612
US,U.S.A.,0,United States,United States,0,0,1932,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),50134000000,0,124839000,20140612
US,U.S.A.,0,United States,United States,0,0,1932,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),402,0,124839000,20140612
US,U.S.A.,0,United States,United States,0,0,1933,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),47085000000,0,125580000,20140612
US,U.S.A.,0,United States,United States,0,0,1933,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),375,0,125580000,20140612
US,U.S.A.,0,United States,United States,0,0,1934,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),53939000000,0,126372000,20140612
US,U.S.A.,0,United States,United States,0,0,1934,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),427,0,126372000,20140612
US,U.S.A.,0,United States,United States,0,0,1935,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),60698000000,0,127251000,20140612
US,U.S.A.,0,United States,United States,0,0,1935,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),477,0,127251000,20140612
US,U.S.A.,0,United States,United States,0,0,1936,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),69057000000,0,128054000,20140612
US,U.S.A.,0,United States,United States,0,0,1936,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),539,0,128054000,20140612
US,U.S.A.,0,United States,United States,0,0,1937,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),74545000000,0,128822000,20140612
US,U.S.A.,0,United States,United States,0,0,1937,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),579,0,128822000,20140612
US,U.S.A.,0,United States,United States,0,0,1938,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),68923000000,0,129825000,20140612
US,U.S.A.,0,United States,United States,0,0,1938,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),531,0,129825000,20140612
US,U.S.A.,0,United States,United States,0,0,1939,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),73452000000,0,130884000,20140612
US,U.S.A.,0,United States,United States,0,0,1939,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),561,0,130884000,20140612
US,U.S.A.,0,United States,United States,0,0,1940,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),79171000000,0,131955000,20140612
US,U.S.A.,0,United States,United States,0,0,1940,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),600,0,131955000,20140612
US,U.S.A.,0,United States,United States,0,0,1941,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),97400000000,0,133417000,20140612
US,U.S.A.,0,United States,United States,0,0,1941,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),730,0,133417000,20140612
US,U.S.A.,0,United States,United States,0,0,1942,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),930,0,134670000,20140612
US,U.S.A.,0,United States,United States,0,0,1943,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),1133,0,134697000,20140612
US,U.S.A.,0,United States,United States,0,0,1944,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),1218,0,134075000,20140612
US,U.S.A.,0,United States,United States,0,0,1945,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),1261,0,133387000,20140612
US,U.S.A.,0,United States,United States,0,0,1946,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),1279,0,140638000,20140612
US,U.S.A.,0,United States,United States,0,0,1947,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),1341,0,143665000,20140612
US,U.S.A.,0,United States,United States,0,0,1948,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),1449,0,146091000,20140612
US,U.S.A.,0,United States,United States,0,0,1949,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),1407,0,148666000,20140612
US,U.S.A.,0,United States,United States,0,0,1950,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),1534,0,151871000,20140612
US,U.S.A.,0,United States,United States,0,0,1951,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),1705,0,153970000,20140612
US,U.S.A.,0,United States,United States,0,0,1952,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),1794,0,156369000,20140612
US,U.S.A.,0,United States,United States,0,0,1953,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),1872,0,158946000,20140612
US,U.S.A.,0,United States,United States,0,0,1954,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),1857,0,161881000,20140612
