stateabbrv,statename,stfips,areatyname,areaname,areatype,area,periodyear,periodtype,pertypdesc,period,inctype,incdesc,incsource,incsrcdesc,income,incrank,population,releasedate
CO,Colorado,8,County,Arapahoe County,4,5,1975,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),8097,4,219967,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1976,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),2026019000,3,230470,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1976,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),8791,2,230470,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1977,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),2322627000,3,242501,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1977,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),9578,2,242501,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1978,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),2772994000,3,261177,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1978,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),10617,3,261177,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1979,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),3292401000,3,278330,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1979,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),11829,4,278330,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1980,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),3917018000,3,297301,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1980,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),13175,5,297301,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1981,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),4613647000,3,312603,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1981,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),14759,3,312603,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1982,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),5192997000,3,330653,20151119
CO,Colorado,8,County,Arapahoe County,4,5,1982,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),15705,3,330653,20151119
