Month,Year,County,Med_Tax_Rev,Rec_Tax_Rev,Med_RemainderOfState_Counties,Rec_RemainderOfState_Counties,Med_Blank_Code,Rec_Blank_Code
5,2016,Weld,18193,89650,,,,
5,2016,Remainder of State,17042,141231,"Alamosa, Archuleta, Chaffee, Costilla, Gilpin, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Park, Sedgwick and Teller","Archuletta, El Paso, Huerfano, Lake, Mesa, Morgan, Ouray,Saguache, San Juan and Sedgwick.",,
6,2016,Adams,14686,49134,,,,
6,2016,Arapahoe,36871,179467,,,,
6,2016,Auchuletta,,12901,,,,
6,2016,Boulder,58530,149874,,,,
6,2016,Chaffee,,9725,,,,
6,2016,Clear Creek,2333,14968,,,,
6,2016,Conejos,,7320,,,,
6,2016,Costilla,,7007,,,,
6,2016,Denver,502345,590835,,,,
6,2016,Eagle,10830,18789,,,,
6,2016,Garfield,12213,31113,,,,
6,2016,Gilpin,701,6137,,,,
6,2016,Grand,,5372,,,,
6,2016,Gunnison,,10558,,,,
6,2016,Jefferson,40732,80966,,,,
6,2016,Lake,,4322,,,,
6,2016,La Plata,11219,44684,,,,
6,2016,Larimer,38915,121409,,,,
6,2016,Las Animas,,42030,,,,
6,2016,Montezuma,2975,24750,,,,
6,2016,Morgan,,20496,,,,
6,2016,Ouray,,8624,,,,
6,2016,Park,,7126,,,,
6,2016,Pitkin,4429,8279,,,,
6,2016,Pueblo,29804,50859,,,,
6,2016,Routt,,13756,,,,
6,2016,San Miguel,1476,7250,,,,
6,2016,Summit,4526,28576,,,,
6,2016,Weld,10104,57981,,,,
6,2016,Remainder of State,20882,92188,"Alamosa, Archuleta, Chaffee, Costilla, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray,Park, Routt and Sedgwick","El Paso, Huerfano, Mesa, Saguache, San Juan and Sedgwick.",,
7,2016,Adams,9942,157219,,,,
7,2016,Arapahoe,41835,244207,,,,
7,2016,Auchuletta,,17924,,,,
7,2016,Boulder,73253,162835,,,,
7,2016,Chaffee,,13389,,,,
7,2016,Clear Creek,1918,12881,,,,
7,2016,Conejos,,9429,,,,
7,2016,Costilla,,5697,,,,
7,2016,Denver,533148,641595,,,,
7,2016,Eagle,5159,24364,,,,
7,2016,Garfield,12233,41327,,,,
7,2016,Gilpin,,6023,,,,
7,2016,Grand,,7422,,,,
7,2016,Gunnison,,14784,,,,
7,2016,Jefferson,48524,127640,,,,
7,2016,Lake,,6064,,,,
7,2016,La Plata,12367,52431,,,,
7,2016,Larimer,27483,106318,,,,
7,2016,Las Animas,,46850,,,,
7,2016,Montezuma,2693,26396,,,,
7,2016,Morgan,,16582,,,,
7,2016,Park,,8777,,,,
7,2016,Pitkin,3669,19520,,,,
7,2016,Pueblo,22110,63232,,,,
7,2016,Routt,3988,19063,,,,
7,2016,San Miguel,1100,8789,,,,
7,2016,Summit,4300,36181,,,,
7,2016,Weld,8446,57561,,,,
7,2016,Remainder of State,18177,108050,"Alamosa, Archuleta, Chaffee, Costilla, Gilpin, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Park, Sedgwick, and Teller","El Paso, Mesa, Ouray, Saguache, San Juan and Sedgwick.",,
8,2016,Adams,11436,119706,,,,
8,2016,Arapahoe,43337,252705,,,,
8,2016,Boulder,65391,197795,,,,
8,2016,Clear Creek,1939,21397,,,,
8,2016,Conejos,,12228,,,,
8,2016,Costilla,,12180,,,,
8,2016,Denver,541784,742595,,,,
8,2016,Eagle,5229,32219,,,,
8,2016,Garfield,12101,47044,,,,
8,2016,Gilpin,,7001,,,,
8,2016,Grand,,10850,,,,
8,2016,Gunnison,,19887,,,,
8,2016,Jefferson,46395,123060,,,,
8,2016,Lake,,8087,,,,
8,2016,La Plata,11781,62472,,,,
8,2016,Larimer,35770,120062,,,,
8,2016,Las Animas,,62820,,,,
8,2016,Montezuma,2907,34131,,,,
8,2016,Morgan,,19195,,,,
8,2016,Ouray,,26344,,,,
8,2016,Park,,11131,,,,
8,2016,Pitkin,-484,33561,,,,
8,2016,Pueblo,25958,68193,,,,
8,2016,Routt,4537,27003,,,,
8,2016,San Miguel,1227,13271,,,,
8,2016,Summit,4772,50769,,,,
8,2016,Weld,9284,67760,,,,
8,2016,Remainder of State,19267,147368,"Alamosa, Archuleta, Chaffee, Costilla, Gilpin, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Park, and Sedgwick","Archuletta, Chaffee, El Paso, Mesa, Saguache, San Juan, and Sedgwick.",,
9,2016,Adams,14137,135706,,,,
9,2016,Arapahoe,35593,224305,,,,
9,2016,Archuletta,,21681,,,,
9,2016,Boulder,65305,187323,,,,
9,2016,Clear Creek,1622,17103,,,,
9,2016,Conejos,,12098,,,,
9,2016,Costilla,,11409,,,,
9,2016,Denver,593786,782584,,,,
9,2016,Eagle,7644,32453,,,,
9,2016,Garfield,11795,42285,,,,
9,2016,Gilpin,,7264,,,,
9,2016,Grand,,11429,,,,
9,2016,Gunnison,,17911,,,,
9,2016,Jefferson,48918,127350,,,,
9,2016,Lake,,8743,,,,
9,2016,La Plata,12824,65555,,,,
9,2016,Larimer,36572,122957,,,,
9,2016,Las Animas,,63143,,,,
9,2016,Montezuma,1467,30232,,,,
9,2016,Ouray,,14900,,,,
9,2016,Park,,11079,,,,
9,2016,Pitkin,4093,28751,,,,
9,2016,Pueblo,24628,90059,,,,
9,2016,Routt,4811,25874,,,,
9,2016,San Miguel,1331,12256,,,,
9,2016,Summit,4642,45932,,,,
9,2016,Weld,9473,69389,,,,
9,2016,Remainder of State,18826,155234,"Alamosa, Archuleta, Chaffee, Costilla, Gilpin, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Park, and Sedgwick","Chaffee, El Paso, Huerfano, Mesa, Morgan, Saguache,San Juan, and Sedgwick.",,
10,2016,Adams,12256,134529,,,,
10,2016,Arapahoe,52992,295759,,,,
10,2016,Archuletta,,20920,,,,
10,2016,Boulder,65768,181889,,,,
10,2016,Chaffee,,14237,,,,
10,2016,Clear Creek,3214,24259,,,,
10,2016,Conejos,,12378,,,,
10,2016,Costilla,,8933,,,,
10,2016,Denver,551137,821214,,,,
10,2016,Eagle,5870,27734,,,,
10,2016,Garfield,10700,51113,,,,
10,2016,Gilpin,,7873,,,,
10,2016,Gunnison,,15602,,,,
10,2016,Jefferson,43541,129204,,,,
10,2016,Lake,,7375,,,,
10,2016,La Plata,12433,57067,,,,
10,2016,Larimer,34856,123484,,,,
10,2016,Las Animas,,71307,,,,
10,2016,Montezuma,2491,41872,,,,
10,2016,Morgan,,21581,,,,
10,2016,Ouray,,11446,,,,
10,2016,Park,,10504,,,,
10,2016,Pitkin,3682,23809,,,,
10,2016,Pueblo,25159,90793,,,,
10,2016,Routt,,23051,,,,
10,2016,San Miguel,1465,10627,,,,
10,2016,Summit,3982,39248,,,,
10,2016,Weld,9953,73053,,,,
10,2016,Remainder of State,25804,123546,"Alamosa, Archuleta, Chaffee, Costilla, Gilpin, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Park, Routt, Sedgwick, and Teller","El Paso, Grand, Huerfano, Mesa, Saguache, San Juan,and Sedgwick.",,
11,2016,Adams,11675,131759,,,,
11,2016,Arapahoe,27635,244765,,,,
11,2016,Archuletta,,15865,,,,
11,2016,Boulder,61483,171652,,,,
11,2016,Chaffee,,10286,,,,
11,2016,Clear Creek,1948,14014,,,,
11,2016,Conejos,,10932,,,,
11,2016,Costilla,,6213,,,,
11,2016,Denver,464066,834362,,,,
11,2016,Eagle,4361,25591,,,,
11,2016,Garfield,13996,48610,,,,
11,2016,Gilpin,,6934,,,,
11,2016,Grand,,7333,,,,
11,2016,Gunnison,,16367,,,,
11,2016,Jefferson,47826,120253,,,,
11,2016,Lake,,5771,,,,
11,2016,La Plata,10546,53367,,,,
11,2016,Larimer,33250,116304,,,,
11,2016,Las Animas,,65542,,,,
11,2016,Montezuma,1727,36938,,,,
11,2016,Morgan,,18137,,,,
11,2016,Ouray,,11529,,,,
11,2016,Park,,8861,,,,
11,2016,Pitkin,5249,14486,,,,
11,2016,Pueblo,18943,83993,,,,
11,2016,Routt,5721,19885,,,,
11,2016,San Miguel,1135,7181,,,,
11,2016,Summit,4392,41152,,,,
11,2016,Weld,6768,72233,,,,
11,2016,Remainder of State,16178,101444,"Alamosa, Archuleta, Chaffee, Costilla, Gilpin, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Park, and Sedgwick","El Paso, Huerfano, Mesa, Saguache, San Juan,and Sedgwick.",,
12,2016,Adams,11163,126500,,,,
12,2016,Arapahoe,53043,262716,,,,
12,2016,Boulder,51198,158528,,,,
12,2016,Chaffee,,9011,,,,
12,2016,Clear Creek,1964,7916,,,,
12,2016,Conejos,,9321,,,,
12,2016,Costilla,,8088,,,,
12,2016,Denver,463738,649705,,,,
12,2016,Eagle,3115,20409,,,,
12,2016,Garfield,8986,38635,,,,
12,2016,Gilpin,,5465,,,,
12,2016,Grand,,7132,,,,
12,2016,Gunnison,,5355,,,,
12,2016,Jefferson,44066,111901,,,,
12,2016,La Plata,8336,47240,,,,
12,2016,Larimer,33072,116143,,,,
12,2016,Las Animas,,69656,,,,
12,2016,Montezuma,1762,37649,,,,
12,2016,Morgan,,16096,,,,
12,2016,Ouray,,7165,,,,
12,2016,Park,,8250,,,,
12,2016,Pitkin,2831,12437,,,,
12,2016,Pueblo,18775,63904,,,,
12,2016,Routt,4862,17389,,,,
12,2016,San Miguel,815,4306,,,,
12,2016,Summit,,31614,,,,
12,2016,Weld,,68979,,,,
12,2016,Remainder of State,26739,109436,"Alamosa, Archuleta, Chaffee, Costilla, Fremont, Gilpin, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Park, Sedgwick, Summit, Teller and Weld","Archuletta, El Paso, Huerfano, Lake, Mesa, Saguache and Sedgwick.",,
7,2017,Adams,30597,139506,,,,
7,2017,Arapahoe,34103,279150,,,,
7,2017,Archuleta,0,19763,,,NR,
7,2017,Boulder,53398,200148,,,,
7,2017,Chaffee,0,16274,,,NR,
7,2017,Clear Creek,1585,16559,,,,
7,2017,Conejos,,14534,,,,
7,2017,Costilla,0,11438,,,NR,
7,2017,Denver,481698,885655,,,,
7,2017,Eagle,3072,32069,,,,
7,2017,El Paso,253579,0,,,,NR
7,2017,Garfield,8239,58333,,,,
7,2017,Gilpin,0,7725,,,NR,
7,2017,Grand,0,9385,,,NR,
7,2017,Gunnison,0,10725,,,NR,
7,2017,Huerfano,,0,,,,NR
7,2017,Jefferson,32163,127460,,,,
7,2017,La Plata,17234,63041,,,,
7,2017,Lake,,7274,,,,
7,2017,Larimer,31333,141072,,,,
7,2017,Las Animas,926,126033,,,,
7,2017,Mesa,0,0,,,NR,NR
7,2017,Montezuma,2140,52762,,,,
7,2017,Morgan,0,24634,,,NR,
7,2017,Ouray,0,19357,,,NR,
7,2017,Park,0,12169,,,NR,
7,2017,Pitkin,1945,25771,,,,
7,2017,Pueblo,21903,104818,,,,
7,2017,Routt,0,23405,,,NR,
7,2017,Saguache,,0,,,,NR
7,2017,San Juan,,0,,,,NR
7,2017,San Miguel,672,11970,,,,
7,2017,Sedgwick,0,0,,,NR,NR
7,2017,Summit,2933,44262,,,,
7,2017,Weld,8488,73106,,,,
7,2017,Sum of NR Counties,20830,120778,,,,
6,2017,Adams,30141,138365,,,,
6,2017,Arapahoe,33906,270122,,,,
6,2017,Archuleta,0,0,,,NR,NR
6,2017,Boulder,55178,190372,,,,
6,2017,Chaffee,0,12647,,,NR,
6,2017,Clear Creek,1256,13076,,,,
6,2017,Conejos,,12640,,,,
6,2017,Costilla,0,9352,,,NR,
6,2017,Denver,517605,885739,,,,
6,2017,Eagle,3502,24541,,,,
6,2017,El Paso,267657,0,,,,NR
6,2017,Garfield,9703,54425,,,,
6,2017,Gilpin,0,8165,,,NR,
6,2017,Grand,0,6192,,,NR,
6,2017,Gunnison,0,15267,,,NR,
6,2017,Huerfano,,0,,,,NR
6,2017,Jefferson,29317,126205,,,,
6,2017,La Plata,10397,57259,,,,
6,2017,Lake,,5782,,,,
6,2017,Larimer,32395,131764,,,,
6,2017,Las Animas,0,89341,,,NR,
6,2017,Mesa,0,0,,,NR,NR
6,2017,Montezuma,2214,52487,,,,
6,2017,Morgan,0,29755,,,NR,
6,2017,Ouray,0,12599,,,NR,
6,2017,Park,0,10155,,,NR,
6,2017,Pitkin,1657,14163,,,,
6,2017,Pueblo,20925,96357,,,,
6,2017,Routt,4346,19046,,,,
6,2017,Saguache,,0,,,,NR
6,2017,San Juan,,0,,,,NR
6,2017,San Miguel,383,5521,,,,
6,2017,Sedgwick,0,0,,,NR,NR
6,2017,Summit,2855,32940,,,,
6,2017,Weld,8099,73732,,,,
6,2017,Sum of NR Counties,20451,129869,,,,
5,2017,Adams,32817,141429,,,,
5,2017,Arapahoe,24274,287048,,,,
5,2017,Archuleta,0,13515,,,NR,
5,2017,Boulder,60974,177017,,,,
5,2017,Chaffee,0,10426,,,NR,
5,2017,Clear Creek,1512,13646,,,,
5,2017,Conejos,,11856,,,,
5,2017,Costilla,0,7217,,,NR,
5,2017,Denver,532556,839280,,,,
5,2017,Eagle,4509,40768,,,,
5,2017,El Paso,237951,0,,,,NR
5,2017,Garfield,8733,51969,,,,
5,2017,Gilpin,0,7475,,,NR,
5,2017,Grand,0,6221,,,NR,
5,2017,Gunnison,0,11860,,,NR,
5,2017,Huerfano,,0,,,,NR
5,2017,Jefferson,29147,134975,,,,
5,2017,Lake,,7211,,,,
5,2017,La Plata,8135,61222,,,,
5,2017,Larimer,31925,125328,,,,
5,2017,Las Animas,894,91940,,,,
5,2017,Mesa,0,0,,,NR,NR
5,2017,Montezuma,2032,44742,,,,
5,2017,Morgan,0,0,,,NR,NR
5,2017,Ouray,0,0,,,NR,NR
5,2017,Park,0,8856,,,NR,
5,2017,Pitkin,0,17181,,,NR,
5,2017,Pueblo,18844,84883,,,,
5,2017,Routt,5114,20380,,,,
5,2017,Saguache,,0,,,,NR
5,2017,San Juan,,0,,,,NR
5,2017,San Miguel,654,10235,,,,
5,2017,Sedgwick,0,0,,,NR,NR
5,2017,Summit,3962,45620,,,,
5,2017,Weld,8173,75243,,,,
5,2017,Combined Counties,,130366,,,,
1,2017,Adams,14960,126839,,,,
1,2017,Arapahoe,37520,268979,,,,
1,2017,Boulder,59231,161640,,,,
1,2017,Chaffee,,10341,,,,
1,2017,Clear Creek,1738,20964,,,,
1,2017,Conejos,,9755,,,,
1,2017,Costilla,,7616,,,,
1,2017,Denver,419489,762068,,,,
1,2017,Eagle,4146,40748,,,,
1,2017,Garfield,7262,41432,,,,
1,2017,Gilpin,,5984,,,,
1,2017,Grand,,11214,,,,
1,2017,Gunnison,,18269,,,,
1,2017,Jefferson,43750,123827,,,,
1,2017,La Plata,10547,53458,,,,
1,2017,Lake,,5393,,,,
1,2017,Larimer,32979,117689,,,,
1,2017,Las Animas,,69105,,,,
1,2017,Montezuma,,29368,,,,
1,2017,Morgan,,16595,,,,
1,2017,Ouray,,12170,,,,
1,2017,Park,,8799,,,,
1,2017,Pitkin,-5267,35168,,,,
1,2017,Pueblo,19096,75918,,,,
1,2017,Routt,5354,23201,,,,
1,2017,San Miguel,858,9207,,,,
1,2017,Summit,4581,63209,,,,
1,2017,Weld,8586,71127,,,,
1,2017,Remainder of State,16391,102910,"Alamosa, Archuleta, Chaffee, Costilla, Gilpin, Grand, Gunnison, Las Animas, Mesa, Moffat, Montezuma, Montrose, Morgan, Otero, Ouray, Park, Sedgwick, and Teller","Archuletta, El Paso, Huerfano, Mesa, Saguache, San Juan,and Sedgwick.",,
2,2017,Adams,21071,127372,,,,
2,2017,Arapahoe,27713,229318,,,,
2,2017,Archuletta,,15507,,,,
2,2017,Boulder,57350,160367,,,,
2,2017,Chaffee,,9199,,,,
2,2017,Clear Creek,1469,16698,,,,
2,2017,Conejos,,8494,,,,
2,2017,Costilla,,6166,,,,
2,2017,Denver,431934,747069,,,,
2,2017,Eagle,5601,49642,,,,
2,2017,Garfield,8672,39091,,,,
2,2017,Gilpin,,4495,,,,
2,2017,Grand,,10764,,,,
2,2017,Gunnison,,10871,,,,
2,2017,Jefferson,39660,116005,,,,
2,2017,La Plata,8717,47922,,,,
2,2017,Lake,,5566,,,,
2,2017,Larimer,27286,100562,,,,
2,2017,Las Animas,,58200,,,,
2,2017,Montezuma,3140,46063,,,,
2,2017,Ouray,,10759,,,,
2,2017,Park,,7784,,,,
2,2017,Pitkin,2087,30840,,,,
2,2017,Pueblo,7671,60707,,,,
2,2017,Routt,5226,27362,,,,
2,2017,San Miguel,1031,14527,,,,
2,2017,Summit,,85554,,,,
2,2017,Weld,7422,67803,,,,
2,2017,Remainder of State,22330,69020,"Alamosa, Archuleta, Chaffee, Costilla, Fremont, Gilpin, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Otero, Ouray, Park, Sedgwick, Summit, Teller","El Paso, Huerfano, Mesa, Morgan, Saguache, San Juan,and Sedgwick.",,
3,2017,Adams,16881,118622,,,,
3,2017,Arapahoe,39164,256518,,,,
3,2017,Archuleta,,15275,,,,
3,2017,Boulder,61636,166310,,,,
3,2017,Chaffee,,9073,,,,
3,2017,Clear Creek,1952,15946,,,,
3,2017,Conejos,,9536,,,,
3,2017,Costilla,,6232,,,,
3,2017,Denver,582381,860182,,,,
3,2017,Eagle,3823,44064,,,,
3,2017,Garfield,7738,46369,,,,
3,2017,Gilpin,,5592,,,,
3,2017,Grand,,10486,,,,
3,2017,Gunnison,,22710,,,,
3,2017,Jefferson,83809,112884,,,,
3,2017,La Plata,7996,68476,,,,
3,2017,Lake,,5580,,,,
3,2017,Larimer,30401,111818,,,,
3,2017,Las Animas,875,75067,,,,
3,2017,Montezuma,1702,37104,,,,
3,2017,Morgan,,22438,,,,
3,2017,Ouray,,14949,,,,
3,2017,Park,,7937,,,,
3,2017,Pitkin,3299,33421,,,,
3,2017,Pueblo,17316,74493,,,,
3,2017,Routt,4519,26802,,,,
3,2017,San Miguel,483,9759,,,,
3,2017,Summit,3889,70029,,,,
3,2017,Weld,7480,69558,,,,
3,2017,Remainder of State,13015,96165,"Alamosa, Archuleta, Chaffee, Costilla, Gilpin, Grand, Gunnison,  Mesa, Moffat, Montrose, Morgan, Otero, Ouray, Park, and Sedgwick","El Paso, Huerfano, Mesa, Saguache, San Juan, and Sedgwick.",,
4,2017,Adams,26842,145724,,,,
4,2017,Arapahoe,33771,282799,,,,
4,2017,Archuleta,,18619,,,,
4,2017,Boulder,56283,176018,,,,
4,2017,Chaffee,,12371,,,,
4,2017,Clear Creek,1815,18349,,,,
4,2017,Conejos,,11950,,,,
4,2017,Costilla,,9285,,,,
4,2017,Denver,538559,842583,,,,
4,2017,Eagle,4584,42600,,,,
4,2017,Garfield,9433,56406,,,,
4,2017,Gilpin,,6473,,,,
4,2017,Grand,,14253,,,,
4,2017,Gunnison,,17986,,,,
4,2017,Jefferson,46752,138054,,,,
4,2017,La Plata,418,62570,,,,
4,2017,Larimer,32838,129580,,,,
4,2017,Las Animas,985,89954,,,,
4,2017,Montezuma,1677,47539,,,,
4,2017,Park,,10403,,,,
4,2017,Pitkin,705,41656,,,,
4,2017,Pueblo,17842,100262,,,,
4,2017,Routt,,28355,,,,
4,2017,San Miguel,791,12539,,,,
4,2017,Summit,4435,82597,,,,
4,2017,Weld,8263,78402,,,,
4,2017,Remainder of State,20678,138703,"Costilla, Gilpin, Grand, Mesa, Moffat, Montrose, Morgan, Otero, Park, Routt, Sedgwick, and Teller.","El Paso, Huerfano, Lake, Mesa, Morgan, Ouray, Saguache, San Juan, and Sedgwick",,
2,2014,Adams,18254,,,,,
2,2014,Arapahoe,25951,,,,,
2,2014,Boulder,97913,,,,,
2,2014,Chaffee,2338,,,,,
2,2014,Clear Creek,3952,12770,,,,
2,2014,Eagle,4141,,,,,
2,2014,El Paso,141447,,,,,
2,2014,Fremont,4726,,,,,
2,2014,Garfield,16674,,,,,
2,2014,Gunnison,1992,,,,,
2,2014,La Plata,13422,,,,,
2,2014,Larimer,21404,,,,,
2,2014,Montezuma,4266,,,,,
2,2014,Pitkin,6999,,,,,
2,2014,Pueblo,6249,,,,,
2,2014,Routt,4171,,,,,
2,2014,Weld,20901,,,,,
3,2014,Adams,14491,,,,,
3,2014,Arapahoe,30854,,,,,
3,2014,Boulder,104687,,,,,
3,2014,Eagle,8289,,,,,
3,2014,El Paso,177929,,,,,
3,2014,Fremont,5063,,,,,
3,2014,Garfield,10626,,,,,
3,2014,La Plata,13041,,,,,
3,2014,Larimer,33897,,,,,
3,2014,Montezuma,2651,,,,,
3,2014,Pitkin,2398,,,,,
3,2014,Routt,9018,,,,,
3,2014,Weld,20383,,,,,
4,2014,Adams,13534,,,,,
4,2014,Arapahoe,29504,,,,,
4,2014,Eagle,4867,,,,,
4,2014,El Paso,155230,,,,,
4,2014,Fremont,6589,,,,,
4,2014,Garfield,13101,,,,,
4,2014,La Plata,16639,,,,,
4,2014,Larimer,32081,,,,,
4,2014,Pitkin,11125,,,,,
4,2014,Routt,5928,,,,,
4,2014,Weld,16461,,,,,
5,2014,Adams,6351,,,,,
5,2014,Arapahoe,38484,,,,,
5,2014,Eagle,8591,,,,,
5,2014,El Paso,144236,,,,,
5,2014,Fremont,5689,,,,,
5,2014,Garfield,10033,,,,,
5,2014,La Plata,22917,,,,,
5,2014,Larimer,35514,,,,,
5,2014,Montezuma,2134,,,,,
5,2014,Routt,5227,,,,,
6,2014,Adams,19753,,,,,
6,2014,Arapahoe,29480,,,,,
6,2014,Chaffee,3066,,,,,
6,2014,Eagle,5326,,,,,
6,2014,El Paso,161302,,,,,
6,2014,Fremont,4663,,,,,
6,2014,La Plata,15120,,,,,
6,2014,Larimer,30427,,,,,
6,2014,Montezuma,4176,,,,,
6,2014,Routt,4761,,,,,
7,2014,Adams,12144,,,,,
7,2014,Arapahoe,28959,,,,,
7,2014,Chaffee,2939,,,,,
7,2014,Eagle,3903,,,,,
7,2014,El Paso,158300,,,,,
7,2014,Fremont,11845,,,,,
7,2014,La Plata,16104,,,,,
7,2014,Larimer,32545,,,,,
7,2014,Montezuma,5352,,,,,
8,2014,Adams,12684,,,,,
8,2014,Arapahoe,31401,,,,,
8,2014,Chaffee,4228,,,,,
8,2014,Eagle,3377,,,,,
8,2014,El Paso,168736,,,,,
8,2014,Fremont,7310,,,,,
8,2014,La Plata,16929,,,,,
8,2014,Montezuma,3354,,,,,
9,2014,Adams,13510,,,,,
9,2014,Arapahoe,32668,,,,,
9,2014,Boulder,79049,,,,,
9,2014,Chaffee,2607,,,,,
9,2014,Clear Creek,2886,,,,,
9,2014,Denver,434878,,,,,
9,2014,Eagle,6685,,,,,
9,2014,El Paso,177673,,,,,
9,2014,Fremont,6973,,,,,
9,2014,Garfield,14370,,,,,
9,2014,Gilpin,1179,,,,,
9,2014,Jefferson,52806,,,,,
9,2014,La Plata,16366,,,,,
9,2014,Larimer,32046,,,,,
9,2014,Montezuma,3669,,,,,
9,2014,Pitkin,3356,,,,,
9,2014,Pueblo,11639,,,,,
9,2014,Routt,10693,,,,,
9,2014,San Miguel,1299,,,,,
9,2014,Summit,4790,,,,,
9,2014,Weld,7631,,,,,
9,2014,Remainder of State,19034,,"Alamosa, Archuleta, Costilla, Grand, Gunnison, Lake, Mesa, Moffat, Montrose, Ouray, Park, Saguache and Sedgwick",,,
10,2014,Adams,12759,,,,,
10,2014,Arapahoe,28941,,,,,
10,2014,El Paso,170037,,,,,
10,2014,Fremont,7602,,,,,
10,2014,La Plata,19256,,,,,
10,2014,Montezuma,3497,,,,,
10,2014,Routt,5495,,,,,
11,2014,Adams,13305,,,,,
11,2014,Arapahoe,30817,,,,,
11,2014,El Paso,154894,,,,,
11,2014,Fremont,4563,,,,,
11,2014,La Plata,15890,,,,,
12,2014,El Paso,133682,,,,,
12,2014,Fremont,3261,,,,,
1,2015,El Paso,169625,,,,,
1,2015,Fremont,5735,,,,,
1,2015,Montezuma,3276,,,,,
2,2015,El Paso,142988,,,,,
2,2015,Fremont,6779,,,,,
2,2015,Montezuma,3296,,,,,
2,2015,Route,5104,,,,,
3,2015,Adams,15962,,,,,
3,2015,El Paso,166821,,,,,
3,2015,Fremont,4350,,,,,
4,2015,El Paso,164229,,,,,
4,2015,Fremont,4907,,,,,
5,2015,El Paso,205057,,,,,
5,2015,Fremont,5371,,,,,
6,2015,El Paso,189852,,,,,
6,2015,Fremont,6856,,,,,
7,2015,Adams,17209,,,,,
7,2015,El Paso,197835,,,,,
7,2015,Fremont,5773,,,,,
8,2015,El Paso,233749,,,,,
8,2015,Fremont,7610,,,,,
9,2015,El Paso,254156,,,,,
9,2015,Fremont,7227,,,,,
10,2015,El Paso,205403,,,,,
10,2015,Fremont,5479,,,,,
11,2015,El Paso,222834,,,,,
11,2015,Fremont,6167,,,,,
12,2015,El Paso,195651,,,,,
12,2015,Fremont,2993,,,,,
2,2016,El Paso,175444,,,,,
2,2016,Fremont,3448,,,,,
1,2016,El Paso,221778.72,,,,,
1,2016,Fremont,5619.17,,,,,
3,2016,El Paso,196527,,,,,
4,2016,El Paso,213427,,,,,
4,2016,Fremont,5483,,,,,
5,2016,El Paso,250786,,,,,
5,2016,Fremont,8262,,,,,
6,2016,El Paso,247396,,,,,
6,2016,Fremont,6259,,,,,
7,2016,El Paso,231702,,,,,
7,2016,Fremont,6249,,,,,
8,2016,El Paso,240225,,,,,
8,2016,Fremont,6442,,,,,
9,2016,El Paso,256397,,,,,
9,2016,Fremont,6898,,,,,
10,2016,El Paso,240154,,,,,
10,2016,Fremont,4616,,,,,
11,2016,El Paso,241652,,,,,
11,2016,Fremont,4448,,,,,
12,2016,El Paso,214815,,,,,
1,2017,El Paso,228115,,,,,
1,2017,Fremont,4871,,,,,
2,2017,El Paso,194433,,,,,
3,2017,El Paso,216143,,,,,
3,2017,Fremont,6812,,,,,
4,2017,El Paso,264869,,,,,
4,2017,Fremont,5362,,,,,
5,2017,Alamosa,0,,,,NR,
5,2017,Fremont,4982,,,,,
5,2017,Moffat,0,,,,NR,
5,2017,Montrose,0,,,,NR,
5,2017,Otero,0,,,,NR,
5,2017,Teller,0,,,,NR,
5,2017,Combined Counties 2,16892,,,,,
6,2017,Alamosa,0,,,,NR,
6,2017,Fremont,0,,,,NR,
6,2017,Moffat,0,,,,NR,
6,2017,Montrose,0,,,,NR,
6,2017,Otero,0,,,,NR,
6,2017,Teller,0,,,,NR,
7,2017,Alamosa,0,,,,NR,
7,2017,Fremont,5918,,,,,
7,2017,Moffat,0,,,,NR,
7,2017,Montrose,0,,,,NR,
7,2017,Otero,0,,,,NR,
7,2017,Teller,0,,,,NR,
8,2017,Adams,26195,,,,,
8,2017,Alamosa,0,,,,NR,
8,2017,Arapahoe,29587,,,,,
8,2017,Archuleta,0,,,,NR,
8,2017,Boulder,55997,,,,,
8,2017,Chaffee,0,,,,NR,
8,2017,Clear Creek,921,,,,,
8,2017,Costilla,0,,,,NR,
8,2017,Denver,507955,,,,,
8,2017,Eagle,3990,,,,,
8,2017,El Paso,234542,,,,,
8,2017,Fremont,5740,,,,,
8,2017,Garfield,6908,,,,,
8,2017,Gilpin,0,,,,NR,
8,2017,Grand,0,,,,NR,
8,2017,Gunnison,0,,,,NR,
8,2017,Jefferson,32199,,,,,
8,2017,La Plata,8696,,,,,
8,2017,Larimer,33455,,,,,
8,2017,Las Animas,0,,,,NR,
8,2017,Mesa,0,,,,NR,
8,2017,Moffat,0,,,,NR,
8,2017,Montezuma,2047,,,,,
8,2017,Montrose,0,,,,NR,
