Month,Year,County,Med_Tax_Rev,Rec_Tax_Rev,Med_RemainderOfState_Counties,Rec_RemainderOfState_Counties,Med_Blank_Code,Rec_Blank_Code
11,2014,Remainder of State,26866,135502,"Alamosa, Archuleta, Chaffee, Costilla, Gilpin, Grand, Gunnison, Lake, Mesa, Moffat, Montezuma, Montrose, Morgan, Ouray, Park, Routt, Saguache, Sedgwick, and Teller","Adams, Arapohoe, Archuleta, Chaffee, El Paso, Gilpin, La Plata, Lake, Morgan, Ouray, Park, Routt, Saguache and Sedgwick",,
12,2014,Adams,13462,38490,,,,
12,2014,Arapahoe,26638,23467,,,,
12,2014,Boulder,64733,91020,,,,
12,2014,Clear Creek,2585,8630,,,,
12,2014,Denver,369967,419829,,,,
12,2014,Eagle,6806,10836,,,,
12,2014,Garfield,7911,14475,,,,
12,2014,Gunnison,1663,3215,,,,
12,2014,Jefferson,46641,47216,,,,
12,2014,La Plata,12529,18997,,,,
12,2014,Larimer,31622,43355,,,,
12,2014,Pitkin,2135,6478,,,,
12,2014,Pueblo,12066,39350,,,,
12,2014,San Miguel,532,4453,,,,
12,2014,Summit,4417,22938,,,,
12,2014,Weld,8877,28156,,,,
12,2014,Remainder of State,22944,56559,"Alamosa, Archuleta, Chaffee, Costilla, Gilpin, Lake, Mesa, Moffat, Montezuma, Montrose, Ouray, Park, Routt, Sedgwick, and Teller","Archuleta, Chaffee, Costilla, El Paso, Gilpin, Lake, Las Animas, Ouray, Park, Routt, Saguache, and Sedgwick",,
1,2015,Adams,13187,41848,,,,
1,2015,Arapahoe,35071,41272,,,,
1,2015,Boulder,70604,93696,,,,
1,2015,Clear Creek,2331,11867,,,,
1,2015,Denver,408178,418985,,,,
1,2015,Eagle,7794,21287,,,,
1,2015,Garfield,8249,16464,,,,
1,2015,Gilpin,922,2278,,,,
1,2015,Gunnison,-350,7698,,,,
1,2015,Jefferson,51671,56419,,,,
1,2015,La Plata,14932,24406,,,,
1,2015,Larimer,33837,47766,,,,
1,2015,Pitkin,2321,16837,,,,
1,2015,Pueblo,17165,38458,,,,
1,2015,Route,4961,14752,,,,
1,2015,San Miguel,1559,10158,,,,
1,2015,Summit,7089,27756,,,,
1,2015,Weld,13850,31015,,,,
5,2015,Garfield,10780,17752,,,,
1,2015,Remainder of State,17241,62071,"Alamosa, Archuleta, Chaffee, Costilla, Grand, Lake, Las Animas, Mesa, Moffat, Montrose, Ouray, Park, Sedgwick, and Teller","Archuleta, Chaffee, Costilla, El Paso, Grand, Lake, Las Animas, Montezuma, Morgan,  Ouray, Park, Saguache, and Sedgwick",,
2,2015,Adams,8304,13092,,,,
2,2015,Arapahoe,25572,53858,,,,
2,2015,Boulder,64260,109224,,,,
2,2015,Clear Creek,2117,12583,,,,
2,2015,Denver,363061,423513,,,,
2,2015,Eagle,9390,20375,,,,
2,2015,Garfield,9421,17304,,,,
2,2015,Gilpin,1065,3893,,,,
2,2015,Gunnison,587,9075,,,,
2,2015,Jefferson,45470,48086,,,,
2,2015,La Plata,25691,11858,,,,
2,2015,Larimer,33160,49274,,,,
2,2015,Las Animas,,6424,,,,
2,2015,Pitkin,2245,23537,,,,
2,2015,Pueblo,3328,26366,,,,
2,2015,San Miguel,1529,11557,,,,
2,2015,Summit,6351,50009,,,,
2,2015,Weld,10194,34889,,,,
2,2015,Remainder of State,15878,97711,"Alamosa, Archuleta, Chaffee, Costilla, Grand, Lake, Las Animas, Mesa, Moffat, Montrose, Ouray, Park, Sedgwick, and Teller","Archuleta, Chaffee, Costilla, El Paso, Grand, Lake, Mesa, Montezuma, Morgan,  Ouray, Park, Routt, Saguache, San Juan and Sedgwick",,
3,2015,Arapahoe,25790,62680,,,,
3,2015,Boulder,68817,94149,,,,
3,2015,Clear Creek,2273,13659,,,,
3,2015,Denver,358208,451969,,,,
3,2015,Eagle,7839,21256,,,,
3,2015,Garfield,9913,14884,,,,
3,2015,Gilpin,839,2853,,,,
3,2015,Gunnison,,6597,,,,
3,2015,Jefferson,45154,67463,,,,
3,2015,La Plata,24576,10605,,,,
3,2015,Larimer,32718,48469,,,,
3,2015,Las Animas,,8210,,,,
3,2015,Montezuma,2668,5096,,,,
3,2015,Pitkin,2594,23430,,,,
3,2015,Pueblo,9870,23618,,,,
3,2015,San Miguel,1039,5963,,,,
3,2015,Summit,8650,51411,,,,
3,2015,Weld,10221,36230,,,,
3,2015,Remainder of State,22334,150472,"Alamosa, Archuleta, Chaffee, Costilla, Grand, Gunnison, Lake, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Park, Routt, Sedgwick, and Teller","Adams, Archuleta, Chaffee, Costilla, El Paso, Grand, Lake, Mesa, Morgan, Ouray, Park, Routt, Saguache, San Juan and Sedgwick",,
4,2015,Adams,11922,44220,,,,
4,2015,Arapahoe,38362,67656,,,,
4,2015,Boulder,59855,109336,,,,
4,2015,Clear Creek,3926,12813,,,,
4,2015,Denver,418500,467578,,,,
4,2015,Eagle,10326,24715,,,,
4,2015,Garfield,11415,18009,,,,
4,2015,Gilpin,,2769,,,,
4,2015,Gunnison,,7593,,,,
4,2015,Jefferson,46460,63009,,,,
4,2015,La Plata,25085,25344,,,,
4,2015,Larimer,34075,55678,,,,
4,2015,Las Animas,,11821,,,,
4,2015,Montezuma,3292,6468,,,,
4,2015,Park,,4137,,,,
4,2015,Pitkin,2159,24023,,,,
4,2015,Pueblo,14904,45710,,,,
4,2015,Routt,5918,20381,,,,
4,2015,San Miguel,1864,11014,,,,
4,2015,Summit,6350,50715,,,,
4,2015,Weld,12672,41189,,,,
7,2015,Denver,453698,489176,,,,
4,2015,Remainder of State,18972,83728,"Alamosa, Archuleta, Chaffee, Costilla, Gilpin, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Park, Sedgwick, and Teller","Archuleta, Chaffee, Costilla, El Paso, Grand, Lake, Mesa, Morgan, Ouray,Saguache, San Juan and Sedgwick.",,
5,2015,Adams,13330,41082,,,,
5,2015,Arapahoe,160958,106133,,,,
5,2015,Boulder,63067,113829,,,,
5,2015,Chaffee,,10746,,,,
5,2015,Clear Creek,519,12211,,,,
5,2015,Denver,266771,499741,,,,
5,2015,Eagle,9024,15172,,,,
5,2015,Gilpin,,4271,,,,
5,2015,Gunnison,,5345,,,,
5,2015,Jefferson,47633,56772,,,,
5,2015,La Plata,20888,19742,,,,
5,2015,Larimer,36297,58823,,,,
5,2015,Las Animas,,13583,,,,
5,2015,Montezuma,3876,7221,,,,
5,2015,Park,,3452,,,,
5,2015,Pitkin,2096,13387,,,,
5,2015,Pueblo,8459,38321,,,,
5,2015,Routt,5432,12648,,,,
5,2015,San Miguel,1112,4581,,,,
5,2015,Summit,8644,27781,,,,
5,2015,Weld,7984,43464,,,,
5,2015,Remainder of State,17906,62820,"Alamosa, Archuleta, Chaffee, Costilla, Gilpin, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Park, Sedgwick, and Teller","Archuleta, Costilla, El Paso, Grand, Lake, Mesa, Morgan, Ouray, Saguache and Sedgwick",,
6,2015,Adams,10298,17494,,,,
6,2015,Arapahoe,41057,75778,,,,
6,2015,Boulder,76119,122172,,,,
6,2015,Chaffee,,7687,,,,
6,2015,Clear Creek,4320,7734,,,,
6,2015,Denver,399814,486655,,,,
6,2015,Eagle,9610,12211,,,,
6,2015,Garfield,10551,19986,,,,
6,2015,Gilpin,,5000,,,,
6,2015,Gunnison,,4928,,,,
6,2015,Jefferson,53242,68630,,,,
6,2015,La Plata,4622,16893,,,,
6,2015,Larimer,34480,65977,,,,
6,2015,Las Animas,,15383,,,,
6,2015,Montezuma,4947,10424,,,,
6,2015,Park,,4790,,,,
6,2015,Pitkin,1753,6038,,,,
6,2015,Pueblo,16626,47177,,,,
6,2015,Routt,4593,12214,,,,
6,2015,San Miguel,,3709,,,,
6,2015,Summit,6292,20710,,,,
6,2015,Weld,9608,46733,,,,
6,2015,Remainder of State,23817,113845,"Alamosa, Archuleta, Chaffee, Costilla, Gilpin, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Park, San Miguel, Sedgwick, and Teller",,,
7,2015,Arapahoe,65918,140304,,,,
7,2015,Boulder,73454,128318,,,,
7,2015,Clear Creek,1251,12586,,,,
7,2015,Eagle,6948,15169,,,,
7,2015,Garfield,10985,21748,,,,
7,2015,Gilpin,,3414,,,,
7,2015,Grand,,4450,,,,
7,2015,Gunnison,,8620,,,,
7,2015,Jefferson,47617,92913,,,,
7,2015,La Plata,16528,50681,,,,
7,2015,Larimer,32508,66800,,,,
7,2015,Las Animas,,19771,,,,
7,2015,Montezuma,2580,14267,,,,
7,2015,Park,,5447,,,,
7,2015,Pitkin,3074,15148,,,,
7,2015,Pueblo,13504,35667,,,,
7,2015,Routt,4484,14168,,,,
7,2015,San Miguel,1725,10248,,,,
7,2015,Summit,5646,26535,,,,
7,2015,Weld,8071,48347,,,,
7,2015,Remainder of State,19300,183025,"Alamosa, Archuleta, Chaffee, Costilla, Gilpin, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Park, Sedgwick, and Teller.","Adams, Archuleta, Chaffee, Costilla, El Paso, Huerfano, Lake, Mesa, Morgan, Ouray, Saguache, San Juan, and Sedgwick",,
8,2015,Adams,11247,47992,,,,
8,2015,Arapahoe,42537,128962,,,,
8,2015,Boulder,85442,144255,,,,
8,2015,Clear Creek,5431,17745,,,,
8,2015,Denver,518868,564813,,,,
8,2015,Eagle,10580,21341,,,,
8,2015,Garfield,13010,27023,,,,
8,2015,Gilpin,,5384,,,,
8,2015,Grand,,6643,,,,
8,2015,Gunnison,,11898,,,,
8,2015,Jefferson,62487,72547,,,,
8,2015,La Plata,13626,44086,,,,
8,2015,Larimer,37648,78122,,,,
8,2015,Las Animas,,33301,,,,
8,2015,Montezuma,3785,15391,,,,
8,2015,Park,,7288,,,,
8,2015,Pitkin,4720,26886,,,,
8,2015,Pueblo,22247,57042,,,,
8,2015,Routt,5217,18512,,,,
8,2015,San Miguel,1438,11526,,,,
8,2015,Summit,7079,41913,,,,
8,2015,Weld,10217,53585,,,,
8,2015,Remainder of State,19576,145987,"Alamosa, Archuleta, Chaffee, Costilla, Gilpin, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Park, and Sedgwick","Archuleta, Chaffee, Conejos, Costilla, El Paso, Huerfano, Lake, Mesa, Morgan, Ouray, Saguache, San Juan, and Sedgwick",,
9,2015,Adams,12066,64198,,,,
9,2015,Arapahoe,50269,146920,,,,
9,2015,Boulder,76606,143853,,,,
9,2015,Chaffee,,26628,,,,
9,2015,Clear Creek,3498,15590,,,,
9,2015,Denver,554013,586938,,,,
9,2015,Eagle,9619,21534,,,,
9,2015,Garfield,19390,25479,,,,
9,2015,Gilpin,2002,5873,,,,
9,2015,Grand,,6709,,,,
9,2015,Gunnison,,11567,,,,
9,2015,Jefferson,54043,93836,,,,
9,2015,La Plata,13036,43601,,,,
9,2015,Larimer,40572,83960,,,,
9,2015,Las Animas,,29937,,,,
9,2015,Montezuma,4197,18421,,,,
9,2015,Park,,7145,,,,
9,2015,Pitkin,1052,21266,,,,
9,2015,Pueblo,16188,43612,,,,
9,2015,Routt,5550,18826,,,,
9,2015,San Miguel,1363,10865,,,,
9,2015,Summit,6649,35311,,,,
9,2015,Weld,12032,55954,,,,
9,2015,Remainder of State,17603,141949,"Alamosa, Archuleta, Chaffee, Costilla, Grand, Gunnison, Las Animas, Mesa, Moffat, Montrose, Morgan, Ouray, Park, Sedgwick, and Teller","Archuleta, Conejos, Costilla, El Paso, Huerfano, Lake, Mesa, Morgan, Ouray, Saguache, San Juan, and Sedgwick",,
10,2015,Adams,11809,58124,,,,
10,2015,Arapahoe,59447,162428,,,,
